Elution Volume (mL),Concentration mg/mL,LogM
18.44448,0.012951801477079812,5.3957776421291275
18.46115,0.01312576215161677,5.388650121138608
18.47781,0.013298681786157004,5.381529880515418
18.49447,0.013470952420697237,5.374412642101484
18.51113,0.01364062105523747,5.367298404298013
18.52779,0.013807451689777706,5.360187165506215
18.54445,0.013974453324317938,5.3530789241273
18.56112,0.014143125998854894,5.34596941460852
18.57778,0.014311797633395129,5.338867165055765
18.59444,0.014481683267935364,5.3317679081185645
18.6111,0.014654018902475599,5.324671642198125
18.62776,0.01482693853701583,5.317578365695657
18.64442,0.014997674171556065,5.310488077012368
18.66109,0.01516370084609302,5.303396521362803
18.67775,0.015325777480633256,5.296312205312517
18.69441,0.015484984115173489,5.289230872284078
18.71107,0.015640300749713724,5.282152520678701
18.72773,0.01578972738425396,5.275077148897592
