LogM,MMD
5.162262499247496,0.005169599208409291
5.155237545179486,0.005199855126012895
5.148215542154641,0.005230018641726671
5.1411964885741686,0.005260471819217463
5.134176172376218,0.0052906705349240225
5.127163014656098,0.0053201270391940204
5.120152801583018,0.005348657677272888
5.113145531558193,0.005376670408446811
5.10614120298283,0.005404758071337443
5.099139814258139,0.005432932440712344
5.09213716391678,0.005460521978894865
5.085141651859276,0.005486981594626223
5.078149074855115,0.005511716720301172
5.071159431305503,0.00553452300784517
5.064172719611653,0.005554823522527564
5.057184747108765,0.005573282141752351
5.05020389608748,0.005590319067819046
5.043225972124627,0.005606021953790668
5.036250973621412,0.005620459573393013
5.029278898979041,0.00563364501020436
5.022309746598733,0.00564541506412916
5.015339334346854,0.005655334307218906
5.008376023445946,0.00566391219575354
5.001415630009772,0.005671636867119875
